c_eps,regime,method,Gamma,X,pi_treat_avg
1.0,uncap,DoublyRobust-X-X,3,0.3333,1.0
1.0,uncap,DoublyRobust-X-X,3,0.6667,1.0
1.0,uncap,DoublyRobust-X-X,3,1.0,1.0
1.0,uncap,DoublyRobust-X-X,4,-1.0,0.0
1.0,uncap,DoublyRobust-X-X,4,-0.6667,0.0
1.0,uncap,DoublyRobust-X-X,4,-0.3333,0.75
1.0,uncap,DoublyRobust-X-X,4,0.0,1.0
1.0,uncap,DoublyRobust-X-X,4,0.3333,1.0
1.0,uncap,DoublyRobust-X-X,4,0.6667,1.0
1.0,uncap,DoublyRobust-X-X,4,1.0,1.0
1.0,uncap,DoublyRobust-X-X,5,-1.0,0.0
1.0,uncap,DoublyRobust-X-X,5,-0.6667,0.0
1.0,uncap,DoublyRobust-X-X,5,-0.3333,0.75
1.0,uncap,DoublyRobust-X-X,5,0.0,1.0
1.0,uncap,DoublyRobust-X-X,5,0.3333,1.0
1.0,uncap,DoublyRobust-X-X,5,0.6667,1.0
1.0,uncap,DoublyRobust-X-X,5,1.0,1.0
1.0,uncap,DoublyRobust-X-X,6,-1.0,0.0
1.0,uncap,DoublyRobust-X-X,6,-0.6667,0.0
1.0,uncap,DoublyRobust-X-X,6,-0.3333,0.75
1.0,uncap,DoublyRobust-X-X,6,0.0,1.0
1.0,uncap,DoublyRobust-X-X,6,0.3333,1.0
1.0,uncap,DoublyRobust-X-X,6,0.6667,1.0
1.0,uncap,DoublyRobust-X-X,6,1.0,1.0
1.0,uncap,DoublyRobust-X-X,8,-1.0,0.0
1.0,uncap,DoublyRobust-X-X,8,-0.6667,0.0
1.0,uncap,DoublyRobust-X-X,8,-0.3333,0.75
1.0,uncap,DoublyRobust-X-X,8,0.0,1.0
1.0,uncap,DoublyRobust-X-X,8,0.3333,1.0
1.0,uncap,DoublyRobust-X-X,8,0.6667,1.0
1.0,uncap,DoublyRobust-X-X,8,1.0,1.0
1.0,uncap,Direct-X-X,1,-1.0,0.0
1.0,uncap,Direct-X-X,1,-0.6667,0.0
1.0,uncap,Direct-X-X,1,-0.3333,0.5
1.0,uncap,Direct-X-X,1,0.0,1.0
1.0,uncap,Direct-X-X,1,0.3333,1.0
1.0,uncap,Direct-X-X,1,0.6667,0.0
1.0,uncap,Direct-X-X,1,1.0,0.0
1.0,uncap,Direct-X-X,1.5,-1.0,0.0
1.0,uncap,Direct-X-X,1.5,-0.6667,0.0
1.0,uncap,Direct-X-X,1.5,-0.3333,0.5
1.0,uncap,Direct-X-X,1.5,0.0,1.0
1.0,uncap,Direct-X-X,1.5,0.3333,1.0
1.0,uncap,Direct-X-X,1.5,0.6667,0.0
1.0,uncap,Direct-X-X,1.5,1.0,0.0
1.0,uncap,Direct-X-X,2,-1.0,0.0
1.0,uncap,Direct-X-X,2,-0.6667,0.0
1.0,uncap,Direct-X-X,2,-0.3333,0.5
1.0,uncap,Direct-X-X,2,0.0,1.0
1.0,uncap,Direct-X-X,2,0.3333,1.0
1.0,uncap,Direct-X-X,2,0.6667,0.0
1.0,uncap,Direct-X-X,2,1.0,0.0
1.0,uncap,Direct-X-X,2.5,-1.0,0.0
1.0,uncap,Direct-X-X,2.5,-0.6667,0.0
1.0,uncap,Direct-X-X,2.5,-0.3333,0.5
1.0,uncap,Direct-X-X,2.5,0.0,1.0
1.0,uncap,Direct-X-X,2.5,0.3333,1.0
