dataset,N_train,seeds,c_eps,regime,method,Gamma,mean_EY,sd_EY
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-X-X,5.0,0.3668,0.2904
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-X-X,6.0,0.3668,0.2904
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-X-X,8.0,0.3668,0.2904
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-X-X,1.0,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-X-X,1.5,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-X-X,2.0,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-X-X,2.5,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-X-X,3.0,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-X-X,4.0,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-X-X,5.0,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-X-X,6.0,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-X-X,8.0,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Direct-X-X,1.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Direct-X-X,1.5,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Direct-X-X,2.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Direct-X-X,2.5,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Direct-X-X,3.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Direct-X-X,4.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Direct-X-X,5.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Direct-X-X,6.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Direct-X-X,8.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-X,1.0,0.3668,0.2904
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-X,1.5,0.7573,0.2445
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-X,2.0,0.716,0.2984
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-X,2.5,0.446,0.244
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-X,3.0,0.3799,0.1436
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-X,4.0,0.3256,0.188
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-X,5.0,0.2171,0.2171
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-X,6.0,0.2171,0.2171
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-X,8.0,0.2171,0.2171
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-X,1.0,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-X,1.5,0.7726,0.1592
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-X,2.0,0.7079,0.1094
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-X,2.5,0.693,0.0916
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-X,3.0,0.7025,0.0838
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-X,4.0,0.7291,0.0722
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-X,5.0,0.7008,0.1187
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-X,6.0,0.6953,0.1078
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-X,8.0,0.703,0.1068
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Hajek-O-X,1.0,0.3668,0.2904
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Hajek-O-X,1.5,0.2099,0.2764
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Hajek-O-X,2.0,0.0,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Hajek-O-X,2.5,0.0,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Hajek-O-X,3.0,0.0,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Hajek-O-X,4.0,0.0,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Hajek-O-X,5.0,0.0,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Hajek-O-X,6.0,0.0,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,Hajek-O-X,8.0,0.0,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-W,1.0,0.3668,0.2904
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-W,1.5,0.7942,0.2322
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-W,2.0,1.0386,0.0542
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-W,2.5,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-W,3.0,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-W,4.0,1.0482,0.0289
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-W,5.0,1.048,0.0293
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-W,6.0,1.048,0.0293
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,IPW-O-W,8.0,1.0463,0.0338
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-W,1.0,1.0591,0.0
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-W,1.5,0.9377,0.1478
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-W,2.0,0.9446,0.1168
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-W,2.5,0.9478,0.118
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-W,3.0,0.8655,0.1897
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-W,4.0,0.8516,0.2045
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-W,5.0,0.8473,0.2092
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-W,6.0,0.7919,0.2065
"X4(-1,-0.5,0.5,1)",300,8,1.5,uncap,DoublyRobust-O-W,8.0,0.7921,0.207
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-X-X,1.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-X-X,1.5,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-X-X,2.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-X-X,2.5,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-X-X,3.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-X-X,4.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-X-X,5.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-X-X,6.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-X-X,8.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,DoublyRobust-X-X,1.0,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,DoublyRobust-X-X,1.5,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,DoublyRobust-X-X,2.0,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,DoublyRobust-X-X,2.5,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,DoublyRobust-X-X,3.0,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,DoublyRobust-X-X,4.0,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,DoublyRobust-X-X,5.0,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,DoublyRobust-X-X,6.0,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,DoublyRobust-X-X,8.0,1.0163,0.0365
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,Direct-X-X,1.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,Direct-X-X,1.5,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,Direct-X-X,2.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,Direct-X-X,2.5,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,Direct-X-X,3.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,Direct-X-X,4.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,Direct-X-X,5.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,Direct-X-X,6.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,Direct-X-X,8.0,0.1628,0.2102
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-O-X,1.0,0.4469,0.4536
"X4(-1,-0.5,0.5,1)",300,8,1.5,cap,IPW-O-X,1.5,0.6601,0.4088
